
Abelha
Agapornis
Akita
Albatroz
Andorinha
Aranha
Araponga
Arara
Águia
Avestruz
Azulão
Baleia
Baleia-azul
Baleia-cinzenta
Baleia-de-bossa
Baleia-franca
Beagle
Beija-flor
Beluga
Bem-te-vi
Besouro
Bichon Frisé
Borboleta
Border Collie
Boxer
Bulldog Francês
Bulldog Inglês
Cachalote
Cacatua
Cachorro
Calopsita
Cameron
Canário
Canário-da-terra
Caracol
Caranguejo
Cardeal
Carrapato
Casuar
Centopeia
Chihuahua
Chimpanzé
Chinchila
Cigarra
Cisne
Civeta
Coala
Coelho
Coleirinho
Colibri
Coruja
Curió
Dachshund (Teckel)
Dançador
Diamante-de-gould
Doberman
Dugongo
Ema
Escorpião
Esquilo
Faisão
Falcão
Flamingo
Formiga
Fossa
Frango-d’água
Furão
Gafanhoto
Galinha
Galinha-d’angola
Galo-da-serra
Gambá
Ganso
Garça
Gaivota
Geneta
Gerbil
Golden Retriever
Gorila
Grilo
Guaxinim
Hamster
Hipopótamo
Husky Siberiano
Jacu
Jaçanã
Joaninha
Kiwi
Labrador Retriever
Lacraia
Lagarto
Lagosta
Lêmure
Lesma
Libélula
Lobo
Lóris
Lontra
Louva-a-deus
Marmota
Mariposa
Marreco
Mergulhão
Mink
Minhoca
Mosca
Mosquito
Morcego
Mutum
Nambu
Nandu
Narceja
Narval
Orangotango
Orca
Ouriço
Papagaio
Pardela
Pardal
Pássaro
Pavão
Peixe-boi
Pelicano
Perdiz
Periquito
Petrel
Piolho
Pit Bull
Pinguim
Pombo-correio
Pombo-doméstico
Pomba
Pomba-das-rochas
Porco-espinho
Porquinho-da-índia
Pulga
Rã
Raposa
Rato
Rinoceronte
Rottweiler
Rosela
Sabiá
Saíra
Sanhaço
Saracura
Shih Tzu
Sapo
Suricata
Tangará
Tartaruga
Tesourinha
Teckel
Tigre
Tico-tico
Tim
Trinca-ferro
Tubarão
Tucano
Uirapuru
Urso
Urutau
Vespa
Viuvinha
Yorkshire Terrier
Zebra
